"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.Feedback on our meeting","2.Feedback on Toastmaster","3.Feedback on Table Topic Master","4.Feedback on Evaluation Team","5.Feedback on 1st Speaker","6.Feedback on 2nd Speaker","7.Feedback on 3rd Speaker",
"42","23-Dec-2020 20:46:12","23-Dec-2020 20:51:46","334","中国","北京市","北京市","","组织有序，内容精彩，参会人员水平高","轻松幽默，专业帅气，组织得当，衔接顺畅","内容精彩，策划有创意，认真负责","专业流畅，英语口语很好，点评到位","内容丰富，敢说敢表达，有激情","准备专业，英语口语流利","台风好，自信专业",
"41","23-Dec-2020 20:44:39","23-Dec-2020 20:49:46","307","日本","","","","","so fluent and active for each part，awsome","nice background setting，thoughtful！short the description","","good for icebreaker，more rehearsal","eye contact disturb some pace of the narration.","excellent performance and nice pace，need a stronger conclusion",
"40","23-Dec-2020 20:44:37","23-Dec-2020 20:48:33","236","中国","北京市","北京市","","整体超时，希望未来时间把控上做得更好","很生动很好很棒棒，继续加油！","很好！下次也想接受这样的情景问答","大家都很nice，很专业，很照顾演讲者的情绪。非得说有什么改进的地方，可以切入主题快一些","准备得不够充分，时间把控做得不好，以后可以少准备些内容","准备得很好，讲得很好，发音也都很好","听着节奏最舒服的一个speaker",
"39","23-Dec-2020 20:45:46","23-Dec-2020 20:48:14","148","中国","北京市","北京市","","","Very humorous","别紧张～非常好的话题，非常棒的问题，下次试试能不能脱稿～","","别紧张，非常棒的稿子！下次加油呀","非常有趣的话题和非常native speaker的感觉～希望下次声音大一点，放大魅力～","",
"38","23-Dec-2020 20:44:16","23-Dec-2020 20:48:07","231","中国","北京市","北京市","","氛围很好，主题很深刻引人深思，备稿演讲和点评也非常专业","","主题选的太好了，准备的也非常充分，曲线图特别印象深刻，整体的衔接也非常流畅","专业","Hello 主题很好，内容准备充分，如果能控制好时间就更好了","膜拜 这个演讲太好了，故事性强，信息专业，非常优秀的演讲者","演讲声情并茂，非常专业和自然，内容也非常有意义，我们何尝不是Everyman",
"37","23-Dec-2020 20:44:35","23-Dec-2020 20:47:48","193","中国","北京市","北京市","","气氛不够热烈","很不错！Keep up the good work！","nice","nice","讲稿结构可以更清晰一些","描述医学故事时可以更夸张一些以吸引读者，不然中间部分稍显无聊。","Nice posture， good pronunciation and well-structured speech! Good job!",
"36","23-Dec-2020 20:44:20","23-Dec-2020 20:47:09","169","中国","北京市","北京市","","整体氛围很好","toaster master明显做了很多次，非常熟练","第一次做的已经很不错了，下次脱稿就更好了","流程熟练严谨，就是又拖堂了","内容很好，积极向上，就是不大连贯，","很好，熟练、连贯，内容很有实用性","内容很贴近生活，不错",
"35","23-Dec-2020 20:46:32","23-Dec-2020 20:46:56","24","中国","北京市","北京市","","","","","","","学习邓老师","",
"34","23-Dec-2020 20:46:07","23-Dec-2020 20:46:51","44","中国","北京市","北京市","","棒棒哒","棒棒哒","棒棒哒","棒棒哒","棒棒哒","棒棒哒","棒棒哒",
"33","23-Dec-2020 20:44:21","23-Dec-2020 20:46:30","129","中国","北京市","北京市","","","","热情活泼","","脱稿会更好","引人入胜","低调而有力量",
"32","23-Dec-2020 20:44:24","23-Dec-2020 20:45:48","84","中国","北京市","北京市","","great","great","great","Perfect and professional","Good","Terrific","Perfect",
"31","23-Dec-2020 20:44:40","23-Dec-2020 20:45:48","68","中国","北京市","北京市","","Great","特别好","太棒了，精心地设计","专业","需要多加准备～","完美，流畅，有趣","有趣，生动～",
"30","23-Dec-2020 20:44:20","23-Dec-2020 20:45:39","79","日本","","","","反馈太多啦，写不完！","越来越好！","第一次，棒棒哒！","","","","",
